Text,CreatedAt
"A high-scoring game of Test cricket ends in a stalemate 🤝

📸: Zimbabwe Cricket

#ZIMvAFG 📝: https://t.co/pRA04QCOMy https://t.co/4jM9Lj4l7w",2024-12-30 15:25:48+00:00
"What lies ahead for the 3️⃣ remaining contestants in the race to face the Proteas in the #WTC25 Final 👊

More ➡️ https://t.co/01EI6VN2mj https://t.co/EAha4tANhk",2024-12-30 14:30:55+00:00
"Australia make another push for a #WTC25 Final ticket with a victory in Melbourne 👏

State of Play after #AUSvIND ➡ https://t.co/01EI6VN2mj https://t.co/6UdReBacGL",2024-12-30 13:30:26+00:00
"The shortlists for all nine categories of #ICCAwards 2024 are now out 🔊 

Make your votes count 🗳

https://t.co/XmfUloOx0T",2024-12-30 12:25:24+00:00
"Despite their loss in the Boxing Day Test, India remain in contention for an appearance in the #WTC25 Final next year 👀

Here is how they can still make it ⬇
https://t.co/NH9QVU37zT",2024-12-30 12:00:09+00:00
"Two sizzling double hundreds and a century power Afghanistan to their highest-ever Test total 🔥

📸: Zimbabwe Cricket

#ZIMvAFG 📝: https://t.co/XY0gBT8OKH https://t.co/7AHzIuJJx7",2024-12-30 11:28:08+00:00
"Jacob Duffy and Mitchell Hay shine as New Zealand take an unassailable 2-0 lead in the T20I series 👌

#NZvSL 📝: https://t.co/e38jyyMsQM https://t.co/xlXqkXyNLl",2024-12-30 11:13:24+00:00
"Australia captain Pat Cummins provides an update on the fitness of key pacer Mitchell Starc and reflects on his's side's memorable performance against India in Melbourne 💪

#AUSvIND | #WTC25
https://t.co/zr4kadonjB",2024-12-30 10:30:08+00:00
"🏴󠁧󠁢󠁥󠁮󠁧󠁿 🇮🇳 🇦🇺 🏴󠁧󠁢󠁥󠁮󠁧󠁿 

The best of the best will be vying for the coveted Sir Garfield Sobers Trophy for ICC Men’s Cricketer of the Year 🌟 

#ICCAwards

https://t.co/RJPl6McATL",2024-12-30 10:00:44+00:00
"Rohit Sharma opens up on what lies ahead for the side after the Melbourne loss 🏏

#WTC25 #AUSvIND

https://t.co/TwNuHsLetz",2024-12-30 09:30:08+00:00
"Four outstanding cricketers, one prestigious award 🏆

The shortlist for the Rachael Heyhoe Flint Trophy for ICC Women’s Cricketer of the Year is out 👀 

#ICCAwards

https://t.co/n3iRfqEcn6",2024-12-30 09:02:47+00:00
"Four top performers set the standard in the longest format in 2024 💪 

Presenting the nominees for ICC Men's Test Cricketer of the Year 🗒️ 

#ICCAwards | #WTC25

https://t.co/PN3E7Z6seY",2024-12-30 08:01:03+00:00
"The moment they sealed it 🙌

#WTC25 | #AUSvIND: https://t.co/66Tuk2oTvf https://t.co/pxxjdCjMUT",2024-12-30 07:36:47+00:00
"Australia edge closer to defending their World Test Championship crown with a thrilling win over India in Melbourne 👏 

#WTC25 | #AUSvIND

https://t.co/Fc1NirnhPt",2024-12-30 07:15:08+00:00
"Incredible scenes in Melbourne as Australia clinch the fourth Test 🎉

#WTC25 | #AUSvIND https://t.co/5gqRYRTzLQ",2024-12-30 06:43:55+00:00
"Priceless #WTC25 points as Australia take a 2-1 lead over India with a tremendous win in Melbourne 👊

#AUSvIND 📝: https://t.co/V3bDj8LroF https://t.co/UuRprdPw6a",2024-12-30 06:27:45+00:00
"Australia two wickets away from a famous win as we enter the final hour at the MCG 🏏

#WTC25 #AUSvIND 📝: https://t.co/w02WGGdMLY https://t.co/pxXMHgaL1x",2024-12-30 06:14:07+00:00
"Yashasvi Jaiswal and Rishabh Pant fight back in the second session of day five 👊

#AUSvIND live 👉 https://t.co/bOYB0lAwHt

#WTC25 https://t.co/mDs8K3BIFS",2024-12-30 04:16:09+00:00
"No stopping Jasprit Bumrah this Border-Gavaskar series 👏

#AUSvIND #WTC25 https://t.co/S6DpcDwqE8",2024-12-30 04:03:21+00:00
"A world-class opening batter joins three all-rounders chasing ICC Women's T20I Cricketer of the Year accolades 🏅

More from #ICCAwards 👇

https://t.co/4XUbO7wxSH",2024-12-30 03:36:51+00:00
"A 50-run partnership for Yashasvi Jaiswal and Rishabh Pant as India fight back in the Boxing Day Test 👀

#AUSvIND | #WTC25

Follow Live 👇

https://t.co/rAoJWwveZO",2024-12-30 03:12:44+00:00
"A tough field for Men's T20I Player of the Year honours 🏅

#ICCAwards

https://t.co/OUEyInwxcM",2024-12-30 02:29:46+00:00
"Australia make a move in the morning session of day five 👀

#AUSvIND live 👉 https://t.co/bOYB0lAwHt

#WTC25 https://t.co/qvgNQvoXU4",2024-12-30 01:37:13+00:00
"Off to the #WTC25 Final 🎉

How the Proteas snuck home in Centurion to book Lord's tickets 👇

https://t.co/7zAqzpf5Qr",2024-12-30 00:28:20+00:00
