AuthorID,Text,CreatedAt
245418465,Seriously I am not seeing any difference between BCCI and PCB here https://t.co/4Tn0SNyJFW,2025-01-02 16:36:55+00:00
1.52468E+18,"Rohit Sharma himself portrayed as ""selfless"" boy of Indian cricket and ended up proving how much selfish he is in his last test match by dropping gill. The reputation has to build on honesty and efforts then only it lasts but you chose vimalchap Tripathi, boria and panday
#BCCI",2025-01-02 16:36:55+00:00
1.60578E+18,RT @RohitSharma0R: RIP GAUTAM GAMBHIR 🤲💩https://t.co/qY9NcjAb7d,2025-01-02 16:36:41+00:00
1.68787E+18,@SinghPramod2784 @vedant_parth05 @BCCI Living upto #Rishabpanti downfall of Pant....these people too powerful @StarSportsIndia  @RishabhPant17,2025-01-02 16:36:35+00:00
8.92814E+17,"The test #5 of the #BorderGavaskarTrophy will see #TeamIndia on the ground firing all cylinders to  make it 2-2 &amp; retain the 🏏🏆🇮🇳

Start 2025 fresh and fiery. 
@ImRo45 @imVkohli @Jaspritbumrah93 @mdsirajofficial @Sundarwashi5 @imjadeja @ybj_19 @BCCI @CricketAus @ICC @ACCMedia1",2025-01-02 16:36:33+00:00
8.88399E+17,"RT @ChakriDhonii: N Srinivasan : 

When I Was the Bcci Secretary During 2011 World Cup Coach Gary Kirsten Told me , Don't Worry Sir, on the…",2025-01-02 16:36:30+00:00
1.46814E+18,"RT @BCCI: Congratulations to #TeamIndia stars, who are nominated for the ICC Annual Awards for their exemplary performances in 2024 👏👏

Sho…",2025-01-02 16:36:29+00:00
1.79028E+18,@BCCI_baapofICC Gavaskar 🤣🤣😂,2025-01-02 16:36:24+00:00
1.34069E+18,"RT @_shortarmjab_: From 3/1/2025 ICT wil have 3 captains

T20i - SKY
ODI - Rohit 
Tests - Bumrah 

Back in 2022, Ganguly (BCCI) wasn't in f…",2025-01-02 16:36:19+00:00
1.38546E+18,"RT @Ctrlmemes_: Last time a Captain was dropped by a coach went ahead and become the BCCI chairperson in future.

Pendulum will swing. http…",2025-01-02 16:36:18+00:00
